Number, Message, Solution, deduplicationKeys
06001, 'Start generating class',,
06002, 'Done generating class',,
16001, 'Could not identify fixed value for: ${element1}', 'Unknown, 'errorNumber'
16002, 'Unable to find field with identifer ${elementId1} on element ${currDefId1}; Original Element: ${defId1}; full mapping: ${mapping1}; FHR Path: ${elementPath1} ID: ${elementId2}', 'Unknown, 'errorNumber'
16003, 'Value referenced in mapping but none exist on this element ${element1}', 'Unknown, 'errorNumber'
16004, 'Value referenced in mapping but none exist on this element ${element1}', 'Unknown, 'errorNumber'
16005, 'Cannot create proper inheritance tree w/ multiple based on elements.  Using first element.', 'Unknown, 'errorNumber'
16006, 'No profile to match on, for extension ${extensionId} element: ${elementIdOrPath}', 'Unknown', 'errorNumber'
16007, 'Unable to find matching extension with url ${profileUrl}', 'Unknown', 'errorNumber'
16008, 'Cannot resolve element definition for ${elementFqn}', 'Unknown', 'errorNumber'
