Number, Message, Solution, deduplicationKeys
08001, 'Exporting namespace.',,
08002, 'Finished exporting namespace.',,
08003, 'Exporting element',,
08004, 'Cannot enforce constraint ${constraint} on Element ${elementFqn} since ${path} refers to a type introduced by an "includesType" constraint',, 'errorNumber'
18001, 'Clashing property names: ${name1} and ${name2} ',  'Unknown', 'errorNumber'
18002, 'Ignoring field defined as a choice: ${field1}',   'Unknown', 'errorNumber'
18003, 'Ignoring name-less field: ${field1} ', 'Unknown', 'errorNumber'
18004, 'Ignoring restricted field name: Value :  ${field1} ',  'Unknown', 'errorNumber'
18005, 'Choices with options with cardinalities that are not exactly one are illegal ${value1}. Ignoring option ${option1}',  'Unknown', 'errorNumber
18006, 'Unsupported Incomplete', 'Unknown', 'errorNumber'
18007, 'Unknown type for value ${value1} ', 'Unknown', 'errorNumber'
18008, 'Could not find definition for ${supertype1} which is a supertype of ${def1}', 'Unknown', 'errorNumber'
18009, 'Internal error unexpected constraint target: ${target1} for constraint ${constraint1}'A, 'Unknown', 'errorNumber'
18010, 'Multiple valueset constraints found on a single element ${element1}', 'Unknown', 'errorNumber'
18011, 'Multiple code constraints found on a single element ${element1} ',  'Unknown', 'errorNumber'
18012, 'Internal error: unhandled constraint ${constraint1} ', 'Unknown', 'errorNumber'
18013, 'Encountered a constraint path containing a primitive ${pathId1} at index ${index1} that was not the leaf: ${constraint1} ', 'Unknown', 'errorNumber'
18014, 'Encountered a constraint path with a primitive leaf ${pathId1} on an element that lacked a value: ${constraint1} ', 'Unknown', 'errorNumber'
18015, 'Encountered a constraint path with a primitive leaf ${pathId1} on an element with a mismatched value: ${constraint1} on valueDef ${valueDef1} ', 'Unknown', 'errorNumber'
18016, 'Encountered a constraint path with a primitive leaf ${pathId1} on an element with a mismatched value: ${constraint1} on valueDef ${valueDef1} ', 'Unknown', 'errorNumber'
18017, 'Cannot resolve element definition for ${pathId1} on constraint ${constraint1}. ', 'Unknown', 'errorNumber'
18018, 'Element ${element1} lacked any fields or a value that matched ${pathId1} as part of constraint ${constraint1} ', 'Unknown', 'errorNumber'
18019, 'Element ${element1} lacked a field or a value that matched ${pathId1} as part of constraint ${constraint1} ', 'Unknown', 'errorNumber'
18020, 'Encountered an unnormalized constraint path containing a primitive ${pathId1} at index ${index1}: ${constraint1} ', 'Unknown', 'errorNumber'
18021, 'Element ${element1} lacked any fields or a value that matched ${pathId1} as part of constraint ${constraint1} ', 'Unknown', 'errorNumber'
18022, 'Target of an unnormalized constraint: ${target1} does not have a value. Constraint is: ${constraint1} ', 'Unknown', 'errorNumber'
18023, 'Constraint should not be on the value (except for choices): ${target1} in an expanded object model ${constraint1}. Ignoring constraint.', 'Unknown', 'errorNumber'
18024, 'Target of an unnormalized constraint: ${constraint1} was a choice value that did not have a valid option: ${identifier1} ', 'Unknown', 'errorNumber'
18025 , 'Cannot resolve element definition for ${name1}' , 'This is due to a incomplete definition for an element. Please refer to the document for proper definition syntax.', 'errorNumber'
