Number, Message, Solution, deduplicationKeys
01001, 'No project configuration file found - currently using default EXAMPLE identifiers. Auto-generating a proper config.json in your specifications folder', 'Open the config.json file and customize it for your project.', 'errorNumber'
01002, 'Config file missing key: ${key} using default value: ${defaultValue} instead.', ' Open the config.json file and add your project specific details for that key.', 'errorNumber'
01003, 'Unknown Filetype: ${fileType}',,
01004, 'Start importing content profile file',,
01005, 'Done importing content profile file',,
01006, 'Entered content profile file',,
01007, 'Exiting content profile file',,
01008, 'Start importing data elements file',,
01009, 'Done importing data elements file',,
01010, 'Start importing data element',,
01011, 'Done importing data element',,
01012, 'Using config file ${configFile}',,
01013, 'Start importing mapping file',,
01014, 'Done importing mapping file',,
01015, 'Start importing namespace mapping',,
01016, 'Done importing namespace mapping',,
01017, 'Start importing element mapping',,
01018, 'Done importing element mapping',,
01019, 'Configuration file "${oldPropertyName}" field will be deprecated. Use "implementationGuide.${igPropertyName}" instead.', 'Replace old propery path with new property path',
01020, 'Start preprocessing data elements file',,
01021, 'Done preprocessing data elements file',,
01022, 'Start importing value set file',,
01023, 'Done importing value set file',,
01024, 'Start importing data element namespace',,
01025, 'Done importing data element namespace',,
01026, 'Start preprocessing namespace',,
01027, 'Done preprocessing namespace',,
01028, 'Start importing value set namespace',,
01029, 'Done importing value set namespace',,
01030, 'Namespace level content profile flag(s) for namespace ${namespace} only apply to Entries or Groups.',,
11001, 'Element name "${name}" should begin with a capital letter', 'Rename the specified Element', 'errorNumber'
11002, 'Entry name '${name}' should begin with a capital letter' , 'Rename the specified Entry', 'errorNumber'
11003, 'Unable to resolve value set reference: ${valueSet}', 'Invalid value set reference double check the name and the path', 'errorNumber'
11004, 'Unsupported binding strength: ${bindingStrength}. Defaulting to REQUIRED', 'Binding strength has to be one of the following: -mus be' (required) -mus be X if covered' (extensible) should be' (preferred) could be' (optional)', 'errorNumber'
11005, 'Error parsing source path: ${path1}', 'Invalid path to definitions. Double check path.', 'errorNumber'
11006, 'Invalid config file. Should be valid JSON dictionary', 'Make sure your 'config.json' file is using a valid format for JSON.', 'errorNumber'
11007, 'Unsupported grammar version: ${versionMajor}.${versionMinor} ', 'Grammar Version for file must be 5.0 (or above)', 'errorNumber'
11008, 'Defining value sets by URL has been deprecated in ValueSet files. ValueSet ${valueSet1} ignored.', 'Define the value set with a name using proper syntax.', 'errorNumber'
11009, 'Defining value sets by URN has been deprecated in ValueSet files. ValueSet ${valueSet1} ignored.', 'Define the value set with a name using proper syntax.', 'errorNumber'
11010, 'Could not resolve code system for alias: ${alias1}', 'Invalid Codesystem double check spelling', 'errorNumber'
11011, 'Uses statements have been deprecated in ValueSet files. Uses statement ignored.', 'Uses statement is unnecessary. Refer to documentation for proper syntax', 'errorNumber'
11012, 'Only default path definitions are allowed in ValueSet files. Path definition ignored.', 'Use one of the preset path definitions defined in the documentation.', 'errorNumber'
11015, '${message}', 'This is usually a typo issue. Investigate keywords and missing colons around the specificed text input.', 'errorNumber'
11016, '${message}', 'This is usually a typo issue. Investigate spelling and keywords used around the specificied text input.', 'errorNumber'
11017, '${message}', 'This is usually a typo issue. Investigate spelling and keywords used around the specificied text input.', 'errorNumber'
11020, 'Failed to resolve vocabulary for ${name}.', 'Unknown', 'errorNumber'
11023, '${message}', 'This is usually a typo issue. Investigate spelling and keywords used around the specificied text input.', 'errorNumber'
11025, 'Fields cannot be constrained to type ${value} ', 'Unknown', 'errorNumber'
11027, 'Unable to import property ${fqn1}  unknown value type: ${valueType1}', 'The type either does not exist  or the import tool needs to be updated.', 'errorNumber'
11028, 'Unable to import unknown constraint type: ${constraintType1} ', 'The type either does not exist  or the import tool needs to be updated.', 'errorNumber'
11029, 'Unable to import mapping. Unknown rule type: ${ruleType}', 'The type either does not exist  or the import tool needs to be updated.', 'errorNumber'
11030, 'Unable to import VS rule  unknown rule type: ${ruleType1}', 'The type either does not exist  or the import tool needs to be updated.', 'errorNumber'
11031, 'Unable to import FixedValueConstraint unknown fixed value type: ${ruleType1}', 'The value type either does not exist  or the import tool needs to be updated.', 'errorNumber'
11032, 'Project configuration not found! Exiting the program.', 'There was an error finding or loading the project.json configuration file. Please double check that it exists and is valid.', 'errorNumber'
11033, 'Name ${elementEntryName} already exists.', 'The entity or element name already exists within the namespace and the most recently defined element or entry name will be used.', 'errorNumber'
11034, 'ValueSet name ${vsName} already exists.', 'The value set name already exists within the namespace.', 'errorNumber'
11035, 'Elements cannot be based on ${value} keyword', 'Unknown', 'errorNumber'
11036, 'Path not found for ${identifier}: ${path}', 'Unknown', 'errorNumber'
11037, 'Definition not found for data element in content profile path: ${cpProfilePath}', 'Unknown', 'errorNumber'
11038, 'Could not find content profile file: ${cpFile}', 'Unknown', 'errorNumber'
11039, 'Grammar declaration not found', 'Add Grammar declaration at top of file', 'errorNumber'
11040, 'Property "${name}" already exists.', 'Remove or rename redundant property', 'errorNumber'
11041, 'Choice value constrained without specifying the specific choice', 'Specify the choice to constrain using []', 'errorNumber'
11042, 'Constraint refers to previous identifier', 'Unknown', 'errorNumber'
11043, 'Value should not declare cardinality', 'Remove cardinality from value declaration', 'errorNumber'
11044, 'Missing a value element', 'Unknown', 'errorNumber'
11045, 'Invalid file ${fileName1} ',  'Unknown', 'errorNumber'
11046, 'Invalid config file: ${configFilename1} ',  'Unknown', 'errorNumber'
11047, 'Resolution error: ${errorText} ',  '(1) Check your Uses declaration to make sure you are importing the namespace of the class. (2) Check the spelling of the class name. (3) Check if the class is defined. This message could also be result of a syntax error.', 'errorNumber'
11048, 'Cannot resolve element definition for ${elementFqn}', 'Unknown', 'errorNumber'
11049, 'Namespace declaration not found', 'Add Namespace declaration to file', 'errorNumber'
11050, 'Entry ${entry} cannot declare ${parent} as its parent since ${parent} is not an Entry or Abstract', '(1) Make sure the parent class is an Entry or Abstract class. (2) Check that the parent class exists and you didn't misspell the class name. (3) Check your Uses declaration to make sure you are importing the namespace of the parent class - if it is in a different namespace.' , 'errorNumber'
11051, 'Abstract ${abstract} cannot declare ${parent} as its parent since ${parent} is not an Abstract', 'Unknown', 'errorNumber'
11052, 'Group ${group} cannot declare ${parent} as its parent since ${parent} is not a Group', 'Unknown', 'errorNumber'
11053, 'Element ${element} cannot declare ${parent} as its parent since ${parent} is not an Element', 'Unknown', 'errorNumber'
11054, 'Cannot declare Value on a non-Element', 'Unknown', 'errorNumber'
11055, 'Cannot redeclare Value on Element that has a parent. Constrain Value instead.', 'Unknown', 'errorNumber'
11056, 'Cannot declare properties on an Element since Elements do not have properties', 'Unknown', 'errorNumber'
11057, 'Cannot constrain Value on a non-Element since non-Elements do not have Values', 'Unknown', 'errorNumber'
11058, 'Cannot constrain properties on Elements since Elements only have Values', 'Unknown', 'errorNumber'
11059, 'The Entry/_Entry keywords should no longer be used in field definitions or mappings', 'Remove Entry/_Entry from definitions and/or mappings and use appropriate elements from type hierarchy instead.', 'errorNumber'
11060, 'Namespace ${usesNs} in "Uses" statement for namespace ${currentNs} not found', 'Check that the namespace is correctly defined', 'errorNumber'
